__alignment_not_unique	0	__alignment_not_unique	0	__alignment_not_unique	0
__ambiguous	4783	__ambiguous	1908	__ambiguous	1771
__no_feature	8355709	__no_feature	5010008	__no_feature	6644278
__not_aligned	0	__not_aligned	0	__not_aligned	0
__too_low_aQual	0	__too_low_aQual	0	__too_low_aQual	0
peak_6	6	peak_6	5	peak_6	6
peak_8	88	peak_8	31	peak_8	46
peak_10	63	peak_10	39	peak_10	58
peak_13	80	peak_13	25	peak_13	51
peak_15	160	peak_15	46	peak_15	74
peak_22	153	peak_22	44	peak_22	108
peak_24	41	peak_24	23	peak_24	29
peak_25	27	peak_25	13	peak_25	22
peak_35	57	peak_35	26	peak_35	45
peak_37	148	peak_37	54	peak_37	75
peak_39	34	peak_39	8	peak_39	24
peak_40	70	peak_40	36	peak_40	29
peak_43	81	peak_43	32	peak_43	48
peak_44	120	peak_44	37	peak_44	69
peak_49	43	peak_49	27	peak_49	33
peak_51	81	peak_51	41	peak_51	74
peak_58	106	peak_58	28	peak_58	71
peak_65	43	peak_65	33	peak_65	41
peak_66	59	peak_66	41	peak_66	34
peak_83	88	peak_83	38	peak_83	88
peak_88	79	peak_88	26	peak_88	48
peak_100	54	peak_100	28	peak_100	29
peak_111	139	peak_111	88	peak_111	124
peak_112	56	peak_112	29	peak_112	51
peak_114	102	peak_114	111	peak_114	77
peak_118	73	peak_118	57	peak_118	51
peak_122	115	peak_122	68	peak_122	103
peak_127	81	peak_127	49	peak_127	44
peak_130	24	peak_130	11	peak_130	17
peak_131	72	peak_131	44	peak_131	51
peak_145	69	peak_145	40	peak_145	42
peak_148	61	peak_148	28	peak_148	26
peak_155	156	peak_155	42	peak_155	79
peak_157	117	peak_157	40	peak_157	62
peak_161	76	peak_161	20	peak_161	46
peak_174	115	peak_174	91	peak_174	94
peak_180	39	peak_180	26	peak_180	22
peak_182	113	peak_182	70	peak_182	80
peak_187	68	peak_187	53	peak_187	62
peak_197	48	peak_197	26	peak_197	31
peak_203	112	peak_203	57	peak_203	84
peak_215	57	peak_215	22	peak_215	38
peak_223	95	peak_223	52	peak_223	64
